         16028 function calls (15734 primitive calls) in 0.221 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
       58    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       46    0.000    0.000    0.000    0.000 _parser.py:260(get)
        2    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.000    0.000 main.py:144(createTests)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.000    0.000 loader.py:97(loadTestsFromModule)
        1    0.000    0.000    0.000    0.000 result.py:24(TestResult)
      167    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       50    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       47    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
       41    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
       41    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      198    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        3    0.000    0.000    0.000    0.000 contextlib.py:276(contextmanager)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 case.py:362(TestCase)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       58    0.000    0.000    0.000    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.000    0.000 filecmp.py:1(<module>)
       17    0.000    0.000    0.000    0.000 argparse.py:1634(_pop_action_class)
        1    0.000    0.000    0.000    0.000 subprocess.py:759(Popen)
        3    0.000    0.000    0.000    0.000 result.py:12(failfast)
      101    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       76    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 subprocess.py:701(_use_posix_spawn)
       33    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       41    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
        3    0.000    0.000    0.000    0.000 enum.py:1220(_add_alias_)
       67    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:869(__init__)
        3    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      100    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       49    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
       34    0.000    0.000    0.000    0.000 argparse.py:1427(_registry_get)
        8    0.000    0.000    0.000    0.000 argparse.py:929(__init__)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       17    0.000    0.000    0.000    0.000 argparse.py:817(__init__)
       90    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
        3    0.000    0.000    0.000    0.000 enum.py:1059(_add_member_)
       31    0.000    0.000    0.000    0.000 _parser.py:175(append)
        2    0.000    0.000    0.000    0.000 selectors.py:568(_can_use)
       18    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
       64    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       68    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:166(HelpFormatter)
        9    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       42    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       33    0.000    0.000    0.000    0.000 argparse.py:1647(_check_conflict)
        1    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       18    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        1    0.000    0.000    0.000    0.000 random.py:119(__init__)
       12    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
       41    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        6    0.000    0.000    0.000    0.000 argparse.py:966(__init__)
       58    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:501(_requires_builtin_wrapper)
       12    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        9    0.000    0.000    0.000    0.000 argparse.py:1638(_get_handler)
        1    0.000    0.000    0.000    0.000 random.py:128(seed)
       77    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        6    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       51    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 case.py:45(_Outcome)
       10    0.000    0.000    0.000    0.000 runner.py:19(__getattr__)
